FitnessStagnationTermination,X,Y,TotalIterations,Stations,Drones,MTSPIteration,GeneticIteration,BestDistance,Genetic,TimeTaken
40,0,0,1576,20,7,2,2,6314.614856494789,6317.871575093888,133681.1847
40,0,0,2956,20,7,2,1,6314.614856494789,6314.786912540306,214255.2052
40,0,0,2106,20,7,2,0,6314.614856494789,6314.699395,142610.3826
20,0,0,2576,20,7,2,9,6314.614856494789,6314.811190962337,104210.8187
20,0,0,1332,20,7,2,8,6314.614856494789,6314.679039957095,43504.5858
20,0,0,2058,20,7,2,7,6314.614856494789,6314.881206448686,49628.8628
20,0,0,1646,20,7,2,6,6314.614856494789,6314.885676126017,28688.7934
20,0,0,3496,20,7,2,5,6314.614856494789,6314.665871277128,44767.9408
20,0,0,2372,20,7,2,4,6314.614856494789,6314.659262677652,22173.1676
20,0,0,1060,20,7,2,3,6314.614856494789,6317.007599334096,7840.1339
20,0,0,1126,20,7,2,2,6314.614856494789,6314.782760912229,8195.3411
20,0,0,2382,20,7,2,1,6314.614856494789,6314.614856494789,14795.4887
20,0,0,1074,20,7,2,0,6314.614856494789,6315.039276339794,6187.1867
10,0,0,648,20,7,2,9,6314.614856494789,6317.277184419927,3348.3657
10,0,0,936,20,7,2,8,6314.614856494789,6315.0384907648695,4886.8883
10,0,0,412,20,7,2,7,6314.614856494789,6316.5811307310605,1893.0064
10,0,0,806,20,7,2,6,6314.614856494789,6317.711659823019,3465.3269
10,0,0,1102,20,7,2,5,6314.614856494789,6315.153249455441,4690.6517
10,0,0,344,20,7,2,4,6314.614856494789,6319.643993095476,1467.693
10,0,0,542,20,7,2,3,6314.614856494789,6317.059932182295,1952.0018
10,0,0,870,20,7,2,2,6314.614856494789,6315.120998,2913.5974
10,0,0,676,20,7,2,1,6314.614856494789,6317.716936076671,2425.1076
10,0,0,724,20,7,2,0,6314.614856494789,6315.431214363153,2562.453
5,0,0,302,20,7,2,9,6314.614856494789,6319.3945484529695,1033.7886
5,0,0,300,20,7,2,8,6314.614856494789,6319.172145569211,1122.3912
5,0,0,188,20,7,2,7,6314.614856494789,6319.172145569211,608.689
5,0,0,146,20,7,2,6,6314.614856494789,6319.643993095476,470.4704
5,0,0,212,20,7,2,5,6314.614856494789,6319.172145569211,682.9861
